term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
subdirectory,KLP-9-L4440,0,-259.98136645962495,-901.2760086605111,381.31327574126124,0.7940374125187392
subdirectory,BMK-1-L4440,0,-13.874223602483198,-546.2604850743293,518.5120378693629,0.9999937555144245
subdirectory,KLP-19-L4440,0,319.2243478260875,-227.3778601911872,865.8265558433623,0.48900141972816635
subdirectory,UNC-116-L4440,0,452.03162055335997,-61.84375942182078,965.9070005285407,0.11275292269828796
subdirectory,BMK-1-KLP-9,0,246.10714285714175,-373.14325894715375,865.3575446614373,0.8056771701233136
subdirectory,KLP-19-KLP-9,0,579.2057142857125,-52.30826223434258,1210.7196908057676,0.08859811694558983
subdirectory,UNC-116-KLP-9,0,712.0129870129849,108.60281567391235,1315.4231583520575,0.012103948665193154
subdirectory,KLP-19-BMK-1,0,333.0985714285707,-187.4647924653733,853.6619353225148,0.39433198785818047
subdirectory,UNC-116-BMK-1,0,465.90584415584317,-20.180720319925058,951.9924086316114,0.06705343680058706
subdirectory,UNC-116-KLP-19,0,132.80727272727245,-368.809105164485,634.4236506190299,0.948253103799886
