channel,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
ch1,log2_fc,L4440,bmk-1,35,33,561,0.845,0.845,ns
ch2,log2_fc,L4440,bmk-1,35,33,758,0.0265,0.053,ns
