strain	conc	channel	aligned_row	sum_signal	mean_signal	median_signal	sd_signal	ymeanmax	ymeanmin
wNT002	0uM	ch2	-166	6.17460514195797	0.882086448851139	0.869138112985393	0.0589992427428438	0.941085691593982	0.823087206108295
wNT002	0uM	ch2	-165	6.23705947423191	0.891008496318845	0.874205957086593	0.0619281756724829	0.952936671991328	0.829080320646362
wNT002	0uM	ch2	-164	6.27482726714607	0.896403895306582	0.876346502098432	0.0676073049300057	0.964011200236587	0.828796590376576
wNT002	0uM	ch2	-163	6.29501978765519	0.899288541093599	0.875694408551663	0.0693500792283872	0.968638620321986	0.829938461865211
wNT002	0uM	ch2	-162	6.30294778614499	0.900421112306427	0.875046327622047	0.0647829887313702	0.965204101037798	0.835638123575057
wNT002	0uM	ch2	-161	6.29741611512746	0.899630873589637	0.874929887124571	0.0596114814978985	0.959242355087536	0.840019392091739
wNT002	0uM	ch2	-160	6.29184559278111	0.898835084683016	0.883450326899003	0.0554151895137708	0.954250274196787	0.843419895169245
wNT002	0uM	ch2	-159	6.31737120680183	0.90248160097169	0.899163354601716	0.0530711028453978	0.955552703817087	0.849410498126292
wNT002	0uM	ch2	-158	6.38722578765966	0.912460826808523	0.907093341673708	0.0529523594701135	0.965413186278636	0.85950846733841
wNT002	0uM	ch2	-157	6.46080152355967	0.92297164622281	0.92740320216322	0.0532908267395496	0.97626247296236	0.86968081948326
wNT002	0uM	ch2	-156	6.5071315922346	0.929590227462086	0.950551892135208	0.0527822564558474	0.982372483917934	0.876807971006239
wNT002	0uM	ch2	-155	6.5321279495217	0.933161135645958	0.945786456071942	0.0534815491559908	0.986642684801948	0.879679586489967
wNT002	0uM	ch2	-154	6.5468771021607	0.935268157451528	0.939075527650405	0.0591283390572428	0.994396496508771	0.876139818394286
wNT002	0uM	ch2	-153	6.50904577623444	0.929863682319205	0.932306802624358	0.063159567785244	0.99302325010445	0.866704114533961
wNT002	0uM	ch2	-152	6.45413111721998	0.922018731031426	0.928729270840308	0.0633205482842406	0.985339279315666	0.858698182747185
wNT002	0uM	ch2	-151	6.43554681747228	0.919363831067469	0.92520693417996	0.0610838302783074	0.980447661345776	0.858280000789162
wNT002	0uM	ch2	-150	6.4681096996897	0.924015671384243	0.925730712664422	0.0649154172800345	0.988931088664277	0.859100254104208
wNT002	0uM	ch2	-149	6.50954486185102	0.929934980264432	0.93086743344362	0.066620681808886	0.996555662073318	0.863314298455546
wNT002	0uM	ch2	-148	6.54476440673426	0.93496634381918	0.940727602030176	0.0687723000875474	1.00373864390673	0.866194043731632
wNT002	0uM	ch2	-147	6.54558275581373	0.935083250830533	0.934879356388631	0.0710627043784243	1.00614595520896	0.864020546452109
wNT002	0uM	ch2	-146	6.51725930298519	0.931037043283598	0.929560032778249	0.0709666413022229	1.00200368458582	0.860070401981375
wNT002	0uM	ch2	-145	6.47915221711291	0.925593173873273	0.924790630511375	0.0663166108248147	0.991909784698087	0.859276563048458
wNT002	0uM	ch2	-144	6.45068642039433	0.921526631484904	0.923791310998864	0.0597638407057878	0.981290472190692	0.861762790779116
wNT002	0uM	ch2	-143	6.44216790543805	0.920309700776865	0.917847039308415	0.0546199734634528	0.974929674240318	0.865689727313412
wNT002	0uM	ch2	-142	6.43043604148199	0.918633720211712	0.912485150365925	0.0516278081000416	0.970261528311754	0.867005912111671
wNT002	0uM	ch2	-141	6.40243520845661	0.914633601208087	0.912070822975382	0.0506330157212574	0.965266616929345	0.86400058548683
wNT002	0uM	ch2	-140	6.38121914643419	0.911602735204884	0.913045930463991	0.0480453502096299	0.959648085414514	0.863557384995254
wNT002	0uM	ch2	-139	6.40638715335822	0.915198164765459	0.913673979380888	0.0498723981111135	0.965070562876573	0.865325766654346
wNT002	0uM	ch2	-138	6.47805256321542	0.925436080459346	0.92839749679836	0.0564371691824695	0.981873249641815	0.868998911276876
wNT002	0uM	ch2	-137	6.5672209519224	0.9381744217032	0.940588421041381	0.061159244083067	0.999333665786267	0.877015177620133
wNT002	0uM	ch2	-136	6.60428913381849	0.943469876259784	0.949188319009348	0.0591621020369834	1.00263197829677	0.8843077742228
wNT002	0uM	ch2	-135	6.61915015213531	0.945592878876473	0.946240606076393	0.0545802487624302	1.0001731276389	0.891012630114043
wNT002	0uM	ch2	-134	6.60294040314127	0.943277200448753	0.936360206576776	0.0489220426278708	0.992199243076624	0.894355157820882
wNT002	0uM	ch2	-133	6.59401299736798	0.942001856766855	0.931718067601724	0.0472958655481998	0.989297722315055	0.894705991218655
wNT002	0uM	ch2	-132	6.62992786719653	0.947132552456647	0.939538846060151	0.0507411110803035	0.997873663536951	0.896391441376344
wNT002	0uM	ch2	-131	6.65922399462132	0.951317713517331	0.949075541344403	0.05239687673885	1.00371459025618	0.898920836778481
wNT002	0uM	ch2	-130	6.65749614105543	0.951070877293633	0.94446279114659	0.0513829113981158	1.00245378869175	0.899687965895517
wNT002	0uM	ch2	-129	6.65063107681467	0.950090153830667	0.931119185218415	0.051674051416601	1.00176420524727	0.898416102414066
wNT002	0uM	ch2	-128	6.60825743456075	0.944036776365822	0.927118238918186	0.051934282675083	0.995971059040905	0.892102493690739
wNT002	0uM	ch2	-127	6.57842375695327	0.939774822421895	0.921287583995654	0.0538859883217574	0.993660810743653	0.885888834100138
wNT002	0uM	ch2	-126	6.57769940523409	0.93967134360487	0.919867937224007	0.0535886000166066	0.993259943621477	0.886082743588263
wNT002	0uM	ch2	-125	6.60168806570862	0.943098295101232	0.923566818142882	0.0503867945887558	0.993485089689987	0.892711500512476
wNT002	0uM	ch2	-124	6.62491173837186	0.946415962624551	0.936953269243236	0.0466976966391637	0.993113659263715	0.899718265985388
wNT002	0uM	ch2	-123	6.64276253406539	0.948966076295056	0.954412783567886	0.0439149690578538	0.99288104535291	0.905051107237203
wNT002	0uM	ch2	-122	6.67381861712208	0.953402659588868	0.972328945063159	0.0460722165649356	0.999474876153804	0.907330443023932
wNT002	0uM	ch2	-121	6.7352553851013	0.962179340728758	0.988588477504833	0.0515335333965573	1.01371287412532	0.910645807332201
