channel,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
ch1,log2_fc,L4440,bmk-1,24,24,302,0.783,0.783,ns
ch2,log2_fc,L4440,bmk-1,24,24,382,0.0533,0.1066,ns
