channel,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
ch1,fc_enrich,L4440,bmk-1,11,9,49,1,1,ns
ch2,fc_enrich,L4440,bmk-1,11,9,70,0.131,0.262,ns
