channel,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
ch1,fc_enrich,L4440,bmk-1,13,7,39,0.643,0.699,ns
ch2,fc_enrich,L4440,bmk-1,13,7,51,0.699,0.699,ns
